# chart,"Cumulative share of world GNI against cumulative share of world population, economies ranked by GNI per capita, 2026"
# source,"World Bank WDI, GNI per capita, Atlas method (NY.GNP.PCAP.CD) and population (SP.POP.TOTL); World Bank OGHIST (1 July 2026) for the operational thresholds; UN World Population Prospects 2024, medium variant; author's calculations and projections. Schellekens 2026, The Great Income Inversion, Moving Frontiers."
# note,"Economies are ranked from poorest to richest by GNI per capita. Each row adds that economy's population and its GNI to the running totals, so the two cumulative columns trace the curve."
# note,"World GNI per capita is $14801 in 2026. 63.9 percent of people live in an economy poorer than that, and those economies together hold 16.9 percent of world GNI."
# note,The poorest half of humanity holds 8.7 percent of world GNI; the richest tenth holds 49.5 percent.
# note,"Every person carries their own country's average, so these are measures of inequality between countries, not within them. A survey-based measure would be considerably wider."
# note,Values from 2026 reflect a nowcast based on a conservative constant-pace scenario that replicates country-level median per capita income growth over the last decade. See Schellekens 2026 for methodology.

rank_poorest_to_richest,iso3,economy,gni_per_capita_usd,ratio_to_world_average,population_millions,cumulative_population_share_percent,cumulative_gni_share_percent,at_or_below_world_average
68,IRN,"Iran, Islamic Rep.",4707.8,0.3181,93.168,46.1136,7.3291,yes
69,LKA,Sri Lanka,4801.5,0.3244,21.867,46.3824,7.4163,yes
70,FSM,"Micronesia, Fed. Sts.",4903.6,0.3313,0.114,46.3838,7.4167,yes
71,PHL,Philippines,5070.6,0.3426,117.724,47.8305,7.9124,yes
72,VNM,Viet Nam,5296.6,0.3578,102.177,49.0863,8.3617,yes
73,IDN,Indonesia,5365.2,0.3625,287.887,52.6243,9.6442,yes
74,JOR,Jordan,5381.3,0.3636,11.59,52.7667,9.696,yes
75,SLV,El Salvador,5666.8,0.3829,6.391,52.8452,9.726,yes
76,IRQ,Iraq,5760.8,0.3892,48.007,53.4352,9.9557,yes
77,WSM,Samoa,5845.5,0.3949,0.221,53.4379,9.9567,yes
78,UKR,Ukraine,5876.5,0.397,39.536,53.9238,10.1496,yes
79,DZA,Algeria,5942.5,0.4015,48.028,54.5141,10.3866,yes
80,GNQ,Equatorial Guinea,5963.3,0.4029,1.984,54.5384,10.3964,yes
81,CPV,Cabo Verde,5970.8,0.4034,0.53,54.545,10.3991,yes
82,SUR,Suriname,6259.7,0.4229,0.645,54.5529,10.4024,yes
83,ZAF,South Africa,6348.0,0.4289,65.453,55.3573,10.7474,yes
84,TKM,Turkmenistan,6418.9,0.4337,7.737,55.4523,10.7886,yes
85,FJI,Fiji,6435.2,0.4348,0.937,55.4639,10.7936,yes
86,MNG,Mongolia,6662.8,0.4502,3.609,55.5082,10.8136,yes
87,GTM,Guatemala,6726.3,0.4544,18.968,55.7413,10.9196,yes
88,PRY,Paraguay,6902.4,0.4663,7.095,55.8285,10.9602,yes
89,ECU,Ecuador,7008.4,0.4735,18.445,56.0552,11.0675,yes
90,TON,Tonga,7151.7,0.4832,0.103,56.0565,11.0682,yes
91,LBY,Libya,7340.2,0.4959,7.54,56.1491,11.1141,yes
92,BWA,Botswana,7605.6,0.5139,2.603,56.1811,11.1306,yes
93,AZE,Azerbaijan,7723.2,0.5218,10.303,56.3078,11.1966,yes
94,BLZ,Belize,7773.4,0.5252,0.429,56.313,11.1994,yes
95,THA,Thailand,7860.7,0.5311,71.56,57.1925,11.6664,yes
96,COL,Colombia,8230.7,0.5561,53.936,57.8553,12.035,yes
97,JAM,Jamaica,8257.6,0.5579,2.833,57.8901,12.0545,yes
98,GAB,Gabon,8307.7,0.5613,2.647,57.9227,12.0727,yes
99,XKX,Kosovo,8458.6,0.5715,1.57,57.942,12.0838,yes
100,MDA,Moldova,8780.2,0.5932,2.333,57.9706,12.1008,yes
101,PER,Peru,8901.5,0.6014,34.922,58.3998,12.3589,yes
102,GEO,Georgia,9805.5,0.6625,3.934,58.4482,12.3909,yes
103,BLR,Belarus,9822.2,0.6636,9.025,58.5591,12.4645,yes
104,ARM,Armenia,9838.2,0.6647,3.064,58.5967,12.4895,yes
105,MKD,North Macedonia,10071.9,0.6805,1.811,58.619,12.5047,yes
106,TUV,Tuvalu,10115.4,0.6834,0.009,58.6191,12.5048,yes
107,MHL,Marshall Islands,10288.8,0.6951,0.035,58.6195,12.5051,yes
108,BIH,Bosnia and Herzegovina,10707.1,0.7234,3.114,58.6578,12.5327,yes
