record_type,series,decade,first_rate_year,last_rate_year,economy,code,class_2025,class_at_decade_start,middle_income_at_decade_start,annual_rates_used,decade_median_growth_pct,population_mn,population_year,in_balanced_sample,n_economies,weighted_median_economy,plotted
economy,,1988-95,1988,1995,Bolivia,BOL,LM,LM,True,8,2.8006,7.13,1990,True,,,True
economy,,1996-2005,1996,2005,Bolivia,BOL,LM,LM,True,10,2.1392,9.361,2005,True,,,True
economy,,2006-15,2006,2015,Bolivia,BOL,LM,LM,True,10,10.5046,11.015,2015,True,,,True
economy,,2016-25,2016,2025,Bolivia,BOL,LM,LM,True,10,5.6313,12.582,2025,True,,,True
economy,,1988-95,1988,1995,Bosnia and Herzegovina,BIH,UM,,False,3,,4.449,1990,False,,,False
economy,,1996-2005,1996,2005,Bosnia and Herzegovina,BIH,UM,L,False,10,18.0245,4.096,2005,False,,,False
economy,,2006-15,2006,2015,Bosnia and Herzegovina,BIH,UM,LM,True,10,3.585,3.519,2015,False,,,False
economy,,2016-25,2016,2025,Bosnia and Herzegovina,BIH,UM,UM,True,10,7.7175,3.14,2025,False,,,False
economy,,1988-95,1988,1995,Botswana,BWA,UM,LM,True,8,11.7023,1.306,1990,True,,,True
economy,,1996-2005,1996,2005,Botswana,BWA,UM,LM,True,10,1.6098,1.84,2005,True,,,True
economy,,2006-15,2006,2015,Botswana,BWA,UM,UM,True,10,3.4056,2.203,2015,True,,,True
economy,,2016-25,2016,2025,Botswana,BWA,UM,UM,True,10,2.9177,2.562,2025,True,,,True
economy,,1988-95,1988,1995,Brazil,BRA,UM,UM,True,8,7.46,149.143,1990,True,,,True
economy,,1996-2005,1996,2005,Brazil,BRA,UM,UM,True,10,-3.0348,184.688,2005,True,,,True
economy,,2006-15,2006,2015,Brazil,BRA,UM,LM,True,10,13.0626,201.676,2015,True,,,True
economy,,2016-25,2016,2025,Brazil,BRA,UM,UM,True,10,2.8402,212.812,2025,True,,,True
economy,,1988-95,1988,1995,Cabo Verde,CPV,UM,,False,8,9.7144,0.375,1990,True,,,True
economy,,1996-2005,1996,2005,Cabo Verde,CPV,UM,LM,True,10,1.9504,0.485,2005,True,,,True
economy,,2006-15,2006,2015,Cabo Verde,CPV,UM,LM,True,10,3.6968,0.512,2015,True,,,True
economy,,2016-25,2016,2025,Cabo Verde,CPV,UM,LM,True,10,6.8127,0.527,2025,True,,,True
economy,,1988-95,1988,1995,Cambodia,KHM,LM,L,False,8,9.375,7.375,1990,True,,,True
economy,,1996-2005,1996,2005,Cambodia,KHM,LM,L,False,10,5.234,13.439,2005,True,,,True
economy,,2006-15,2006,2015,Cambodia,KHM,LM,L,False,10,9.801,15.623,2015,True,,,True
economy,,2016-25,2016,2025,Cambodia,KHM,LM,LM,True,10,7.4593,17.848,2025,True,,,True
economy,,1988-95,1988,1995,Cameroon,CMR,LM,LM,True,8,-4.6236,11.332,1990,True,,,True
economy,,1996-2005,1996,2005,Cameroon,CMR,LM,L,False,10,-0.6494,17.075,2005,True,,,True
economy,,2006-15,2006,2015,Cameroon,CMR,LM,LM,True,10,3.348,22.763,2015,True,,,True
economy,,2016-25,2016,2025,Cameroon,CMR,LM,LM,True,10,1.9182,29.879,2025,True,,,True
economy,,1988-95,1988,1995,China,CHN,UM,L,False,8,7.0455,1135.185,1990,True,,,True
economy,,1996-2005,1996,2005,China,CHN,UM,L,False,10,12.9143,1303.72,2005,True,,,True
economy,,2006-15,2006,2015,China,CHN,UM,LM,True,10,16.9569,1379.86,2015,True,,,True
economy,,2016-25,2016,2025,China,CHN,UM,UM,True,10,5.013,1406.585,2025,True,,,True
economy,,1988-95,1988,1995,Colombia,COL,UM,LM,True,8,8.0469,32.44,1990,True,,,True
economy,,1996-2005,1996,2005,Colombia,COL,UM,LM,True,10,1.0593,42.129,2005,True,,,True
economy,,2006-15,2006,2015,Colombia,COL,UM,LM,True,10,10.6869,46.97,2015,True,,,True
economy,,2016-25,2016,2025,Colombia,COL,UM,UM,True,10,4.1857,53.426,2025,True,,,True
economy,,1988-95,1988,1995,Comoros,COM,LM,L,False,8,0.5208,0.445,1990,True,,,True
