# chart,"Every economy as a multiple of world GNI per capita, 2026"
# source,"World Bank WDI, GNI per capita, Atlas method (NY.GNP.PCAP.CD) and population (SP.POP.TOTL); World Bank OGHIST (1 July 2026) for the operational thresholds; UN World Population Prospects 2024, medium variant; author's calculations and projections. Schellekens 2026, The Great Income Inversion, Moving Frontiers."
# note,World GNI per capita is $14801 in 2026. The ratio column is each economy's GNI per capita divided by that.
# note,Burundi at 0.016 times and Bermuda at 9.72 times span a 592-fold range.
# note,Bubble area on the chart follows a logarithmic population scale; economies under ten million people are drawn at a fixed minimum size. The bubble_area column reproduces it.
# note,"Every person carries their own country's average, so these are measures of inequality between countries, not within them. A survey-based measure would be considerably wider."
# note,Values from 2026 reflect a nowcast based on a conservative constant-pace scenario that replicates country-level median per capita income growth over the last decade. See Schellekens 2026 for methodology.

rank_poorest_to_richest,iso3,economy,gni_per_capita_usd,ratio_to_world_average,population_millions,bubble_area,side_of_world_average
84,TKM,Turkmenistan,6418.9,0.4337,7.737,10.0,below
85,FJI,Fiji,6435.2,0.4348,0.937,10.0,below
86,MNG,Mongolia,6662.8,0.4502,3.609,10.0,below
87,GTM,Guatemala,6726.3,0.4544,18.968,12.1,below
88,PRY,Paraguay,6902.4,0.4663,7.095,10.0,below
89,ECU,Ecuador,7008.4,0.4735,18.445,11.8,below
90,TON,Tonga,7151.7,0.4832,0.103,10.0,below
91,LBY,Libya,7340.2,0.4959,7.54,10.0,below
92,BWA,Botswana,7605.6,0.5139,2.603,10.0,below
93,AZE,Azerbaijan,7723.2,0.5218,10.303,10.0,below
94,BLZ,Belize,7773.4,0.5252,0.429,10.0,below
95,THA,Thailand,7860.7,0.5311,71.56,103.9,below
96,COL,Colombia,8230.7,0.5561,53.936,65.4,below
97,JAM,Jamaica,8257.6,0.5579,2.833,10.0,below
98,GAB,Gabon,8307.7,0.5613,2.647,10.0,below
99,XKX,Kosovo,8458.6,0.5715,1.57,10.0,below
100,MDA,Moldova,8780.2,0.5932,2.333,10.0,below
101,PER,Peru,8901.5,0.6014,34.922,30.1,below
102,GEO,Georgia,9805.5,0.6625,3.934,10.0,below
103,BLR,Belarus,9822.2,0.6636,9.025,10.0,below
104,ARM,Armenia,9838.2,0.6647,3.064,10.0,below
105,MKD,North Macedonia,10071.9,0.6805,1.811,10.0,below
106,TUV,Tuvalu,10115.4,0.6834,0.009,10.0,below
107,MHL,Marshall Islands,10288.8,0.6951,0.035,10.0,below
108,BIH,Bosnia and Herzegovina,10707.1,0.7234,3.114,10.0,below
109,BRA,Brazil,10849.6,0.733,213.563,431.6,below
110,DOM,Dominican Republic,11176.7,0.7551,11.61,10.0,below
