Economy,Code,2025 class,"Median, last 10 years",Floor,Cap,Rate used,Adjustment,Change,Obs,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Status
Bhutan,BTN,LM,0.05764203985,0.01244,0.074681,0.05764203985,unadjusted,0,10,0.051094890511,0.027777777778,0.064189189189,0.069841269841,-0.097922848665,0.085526315789,0.090909090909,0.036111111111,0.048257372654,0.102301790281,projected
Bolivia,BOL,LM,0.056312656642,0.01244,0.074681,0.056312656642,unadjusted,0,10,0.027397260274,0.083333333333,0.147692307692,0.117962466488,-0.131894484412,0.102209944751,0.050125313283,0.009546539379,-0.016548463357,0.0625,projected
Bosnia and Herzegovina,BIH,UM,0.077174770755,0.01244,0.090712,0.077174770755,unadjusted,0,10,-0.013618677043,0,0.128205128205,0.08041958042,-0.003236245955,0.131493506494,0.106169296987,0.073929961089,0.064009661836,0.128263337117,projected
Botswana,BWA,UM,0.029177312893,0.01244,0.090712,0.029177312893,unadjusted,0,10,-0.013029315961,0.024752475248,0.075684380032,0.062874251497,-0.070422535211,0.127272727273,0.033602150538,0.059817945384,-0.066257668712,-0.028909329829,projected
Brazil,BRA,UM,0.028401527173,0.01244,0.090712,0.028401527173,unadjusted,0,10,-0.123910939013,-0.024309392265,0.055492638732,0.009656652361,-0.141339001063,-0.002475247525,0.047146401985,0.10308056872,0.066595059076,0.062437059416,projected
British Virgin Islands,VGB,H,,0.01244,0.071689,,frozen,,0,,,,,,,,,,,frozen - only 0 of 10 annual rates
Brunei Darussalam,BRN,H,-0.019253930654,0.01244,0.071689,0.01244,raised by floor,0.031693930654,10,-0.14693556836,-0.102548357384,-0.015053027711,0.095866620354,-0.023454833597,-0.029860434924,0.036132485781,0.110429447853,0.047397499273,-0.034147695725,projected - raised from -1.9% to the 1.244% floor
Bulgaria,BGR,H,0.102385170518,0.01244,0.071689,0.071689,cut by cap,-0.030696170518,10,-0.005312084993,0.032042723632,0.146183699871,0.119638826185,0.017137096774,0.161546085233,0.117747440273,0.087022900763,0.079353932584,0.156798959011,projected - cut from 10.2% to the H p90 cap of 7.17%
Burkina Faso,BFA,L,0.025893752088,0.01244,0.055948,0.025893752088,unadjusted,0,10,-0.044117647059,0,0.123076923077,0.027397260274,0.04,0.051282051282,0.024390243902,0,0.011904761905,0.152941176471,projected
Burundi,BDI,L,0,0.01244,0.055948,0.01244,raised by floor,0.01244,10,0,0,0.041666666667,0,-0.04,0.041666666667,0.12,0,-0.107142857143,-0.04,projected - raised from 0.0% to the 1.244% floor
Cabo Verde,CPV,UM,0.068126749384,0.01244,0.090712,0.068126749384,unadjusted,0,10,-0.011049723757,0.011173184358,0.116022099448,0.094059405941,-0.205882352941,0.102564102564,0.175710594315,0.041758241758,0.042194092827,0.131578947368,projected
Cambodia,KHM,LM,0.074593044765,0.01244,0.074681,0.074593044765,unadjusted,0,10,0.083916083916,0.090322580645,0.136094674556,0.09375,-0.02380952381,0.034146341463,0.070754716981,0.052863436123,0.066945606695,0.078431372549,projected
