Economy,Code,2025 class,Growth rate,Starting level,Level year,Status,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
"Congo, Rep.",COG,LM,0.013671,2280,2025,projected,1050,920,940,920,950,1050,900,750,470,460,590,580,490,560,620,670,690,760,1100,1560,1650,2090,2410,2640,2580,3330,3560,3800,3080,2260,1740,2070,2180,2230,2040,2170,2310,2270,2280,2311.168815,2342.763725,2374.790554,2407.255207,2440.163669,2473.522007,2507.336372,2541.612996,2576.358201,2611.578391,2647.28006,2683.469789,2720.154252,2757.340211,2795.034521,2833.244133,2871.976091,2911.237535,2951.035704,2991.377935,3032.271666,3073.724436,3115.743888,3158.337768,3201.513928
Costa Rica,CRI,H,0.051472,17930,2025,projected,1590,1650,1660,1740,1950,2350,2740,2990,3190,3250,3360,3420,3480,3590,3700,3790,4050,4400,4670,5090,5710,6440,6570,7290,8130,9330,9990,10410,10770,11170,11580,12100,12310,11780,12750,13490,14330,15710,17930,18852.894971,19823.293296,20843.640071,21916.506251,23044.595119,24230.749104,25477.956939,26789.361196,28168.266201,29618.146358,31142.654909,32745.633136,34431.120037,36203.36251,38066.826045,40026.205985,42086.439349,44252.717276,46530.498103,48925.52112,51443.821031,54091.743157,56875.959427,59803.48519,62881.696888
Croatia,HRV,H,0.071689,25360,2025,projected - cut from 7.4% to the H p90 cap of 7.17%,,,,,,,,,,,,,5250,5310,5360,5660,6700,8570,10210,11240,12520,14030,13970,13900,14020,13540,13940,13820,13570,13090,13350,14670,15770,15060,17390,19370,20800,22230,25360,27178.03304,29126.399051,31214.441472,33452.173567,35850.326438,38420.40049,41174.72058,44126.495124,47289.879433,50680.0436,54313.245245,58206.907484,62379.702474,66851.640965,71644.168254,76780.267032,82284.567595,88183.465962,94505.250453,101280.237353,108540.916288,116322.106036,124661.121496,133597.952635,143175.456261
Cuba,CUB,UM,,,,frozen - only 4 of 10 annual rates,2470,2770,2740,2640,2330,2120,1870,2130,2540,2700,2500,2240,2400,2620,2760,2830,3100,3490,3960,4410,4740,5030,5080,5170,5590,6090,6640,6850,7270,7530,8010,8710,9010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curaçao,CUW,H,0.032364,22570,2024,projected,,,,,,,,,,,,,,,,,,,17910,17930,18390,19020,19100,19540,19420,19330,19020,18980,18780,18260,18230,18820,19140,16190,17950,20480,21400,22570,,23300.460779,24054.562362,24833.069866,25636.773169,26466.487715,27323.055337,28207.345115,29120.254255,30062.709,31035.665572,32040.111139,33077.064819,34147.57871,35252.738965,36393.666885,37571.520064,38787.493561,40042.821109,41338.776372,42676.674236,44057.872141,45483.771459,46955.818917,48475.508064,50044.380788
Cyprus,CYP,H,0.030796,36110,2025,projected,6300,7910,8570,9300,9460,11020,10970,11680,12810,13880,14280,15490,14340,14180,14170,14510,16710,20260,23990,25600,27340,32010,32860,32210,32680,29760,27820,26350,25650,24400,24600,27120,28380,26780,29560,31900,32380,32870,36110,37222.061164,38368.369906,39549.98093,40767.981424,42023.492054,43317.668002,44651.700024,46026.815546,47444.279796,48905.396966,50411.511412,51964.008894,53564.317845,55213.91069,56914.305201,58667.06589,60473.805452,62336.186246,64255.921827,66234.77852,68274.57705,70377.194209,72544.564591,74778.682368,77081.603126
Czechia,CZE,H,0.057969,32960,2025,projected,,,,,,3380,3530,4200,5170,6010,6200,6140,6150,6380,6380,6680,8130,10280,12480,13990,15830,18480,18790,19420,19600,19650,19600,19080,18340,17660,18350,20700,22440,22190,25500,27210,28540,29570,32960,34870.656791,36892.072362,39030.667284,41293.23432,43686.960006,46219.44747,48898.740589,51733.349533,54732.277799,57905.050805,61261.74615,64813.02562,68570.169054,72545.11017,76750.474473,81199.619355,85906.67652,90886.596876,96155.198016,101729.214463,107626.350826,113865.338026,120465.992802,127449.280644,134837.382393
Côte d'Ivoire,CIV,LM,0.041707,2780,2025,projected,800,900,810,760,740,760,720,660,670,510,630,710,680,610,550,530,580,710,850,850,880,1000,1080,1120,1020,1140,1240,1860,1880,1880,1870,2010,2120,2120,2300,2440,2510,2520,2780,2895.946701,3016.729243,3142.549316,3273.617023,3410.151229,3552.379929,3700.540624,3854.880724,4015.657955,4183.140794,4357.608914,4539.353654,4728.678503,4925.899608,5131.346302,5345.361653,5568.303037,5800.542738,6042.468563,6294.484496,6557.011371,6830.487571,7115.369765,7412.133668,7721.274836
Denmark,DNK,H,0.018987,77190,2025,projected,17740,22120,23060,24380,25540,28690,28550,30330,32530,34740,35090,33440,33050,32560,31430,30870,34800,42740,49750,53630,55870,60620,60300,61290,62050,61570,63400,63650,60350,57830,56600,61090,63020,62710,69810,72040,72080,72540,77190,78655.626987,80149.082222,81670.894087,83221.600997,84801.75159,86411.904922,88052.630661,89724.509295,91428.132332,93164.102511,94933.034015,96735.552691,98572.296267,100443.914579,102351.069805,104294.436692,106274.702802,108292.568749,110348.748451,112443.969382,114578.972829,116754.514151,118971.363054,121230.303854,123532.135761
Djibouti,DJI,LM,0.059313,3960,2025,projected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2280,2370,2450,2600,2780,2780,2990,3310,3500,3640,3960,4194.880079,4443.691635,4707.26099,4986.463473,5282.226335,5595.531824,5927.42045,6278.994435,6651.421382,7045.938144,7463.854939,7906.559696,8375.522667,8872.301309,9398.545459,9956.002807,10546.524707,11172.072322,11834.723138,12536.677861,13280.267731,14067.96226,14902.377433,15786.284399,16722.618674
Dominica,DMA,UM,0.052588,10690,2025,projected,2190,2580,2620,2840,3010,3260,3480,3570,3800,3970,4090,4260,4260,4290,4750,4720,5310,5640,5670,6070,6280,6880,7080,7250,7510,7530,7440,7670,7510,8000,8070,8880,9350,8230,8660,9740,9990,9930,10690,11252.164659,11843.892378,12466.737815,13122.337387,13812.413563,14538.779397,15303.343285,16108.113984,16955.205884,17846.844568,18785.37266,19773.255973,20813.089997,21907.606708,23059.681756,24272.342012,25548.773526,26892.329893,28306.541069,29795.122642,31361.985596,33011.246582,34747.238742,36574.523086,38497.900477
Dominican Republic,DOM,UM,0.052423,10620,2025,projected,940,920,910,870,1040,1350,1610,1740,1940,2150,2340,2420,2510,2650,2700,2850,2600,2520,3000,3590,4380,4700,4860,5260,5460,5700,5940,6230,6470,6750,6920,7600,7940,7080,8160,9150,9700,10310,10620,11176.732959,11762.651567,12379.285825,13028.245941,13711.226537,14430.011068,15186.476489,15982.598146,16820.454941,17702.234759,18630.240177,19606.894485,20634.748006,21716.48476,22854.92947,24053.054943,25313.989827,26641.026783,28037.631084,29507.449665,31054.320643,32682.283339,34395.588831,36198.711049,38096.358463
Ecuador,ECU,UM,0.017179,6890,2025,projected,1590,1470,1330,1340,1450,1570,1640,1790,1950,2060,2170,2150,1780,1500,1490,1650,2010,2410,2750,3000,3210,3770,3970,4290,4770,5320,5880,6190,5970,5750,5930,6120,6100,5410,6100,6550,6570,6400,6890,7008.362562,7128.758462,7251.22263,7375.790597,7502.498503,7631.38311,7762.481813,7895.832645,8031.474297,8169.446122,8309.788151,8452.5411,8597.746386,8745.446138,8895.683208,9048.501184,9203.944404,9362.057966,9522.887744,9686.480399,9852.883394,10022.145009,10194.31435,10369.44137,10547.576878
"Egypt, Arab Rep.",EGY,LM,0.01244,3260,2025,projected - raised from -3.8% to the 1.244% floor,840,810,760,730,710,720,720,780,880,970,1070,1140,1240,1330,1350,1250,1160,1120,1130,1230,1420,1710,1970,2200,2380,2630,2810,3000,3100,3200,2880,2710,2640,2960,3470,4040,3840,3510,3260,3300.5544,3341.613297,3383.182966,3425.269762,3467.880118,3511.020547,3554.697642,3598.918081,3643.688622,3689.016108,3734.907469,3781.369718,3828.409957,3876.035377,3924.253257,3973.070967,4022.49597,4072.53582,4123.198166,4174.490751,4226.421416,4278.998098,4332.228835,4386.121761,4440.685116
El Salvador,SLV,UM,0.047466,5410,2025,projected,820,860,850,880,910,1030,1130,1260,1450,1560,1660,1730,1790,1890,1940,1990,2120,2280,2430,2600,2730,2910,2870,2940,3120,3280,3420,3480,3520,3600,3700,3940,4130,3800,4380,4710,4930,5070,5410,5666.792358,5935.773683,6217.522541,6512.644957,6821.775725,7145.579768,7484.753571,7840.02668,8212.163267,8601.963778,9010.266655,9437.950133,9885.934138,10355.182259,10846.703824,11361.55607,11900.846416,12465.734847,13057.436407,13677.223816,14326.430203,15006.451975,15718.751825,16464.861869,17246.386952
Equatorial Guinea,GNQ,UM,0.01244,5890,2025,projected - raised from -3.9% to the 1.244% floor,190,220,200,230,230,330,320,230,220,310,760,610,710,660,760,1050,960,1370,3080,6420,9200,11310,9950,7920,9030,11430,12400,12620,9920,6970,6630,6270,5570,6140,5980,5210,6230,6050,5890,5963.2716,6037.454699,6112.560635,6188.600889,6265.587085,6343.530988,6422.444513,6502.339723,6583.228829,6665.124196,6748.038341,6831.983938,6916.973818,7003.020972,7090.138553,7178.339877,7267.638425,7358.047847,7449.581962,7542.254762,7636.080411,7731.073251,7827.247803,7924.618765,8023.201023
Eritrea,ERI,L,,,,frozen - only 0 of 10 annual rates,,,,,,,,310,300,310,330,330,320,310,320,310,310,350,410,440,450,440,520,550,650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,EST,H,0.042816,32310,2025,projected,,,,,,,,,3020,3370,3640,3820,3840,4170,4310,4620,5730,7500,9730,11500,13430,15190,14570,14580,15900,16910,18370,19210,18900,18640,19140,21600,23490,23580,26490,27580,27650,28880,32310,33693.388711,35136.008753,36640.396182,38209.195638,39845.164994,41551.180204,43330.240359,45185.47296,47120.139416,49137.640775,51241.523706,53435.486733,55723.386736,58109.245731,60597.257942,63191.797172,65897.424495,68718.896272,71661.172511,74729.425592,77929.049353,81265.668576,84745.148876,88373.607007,92157.421623
Eswatini,SWZ,LM,0.017842,3730,2025,projected,,,,1220,1260,1440,1450,1470,1740,1840,1870,1670,1670,1600,1620,1470,1600,2020,2880,3090,3250,3160,3120,3260,3620,4010,4120,3890,3540,3270,3290,3460,3680,3430,3620,3650,3750,3440,3730,3796.551692,3864.290817,3933.238562,4003.416492,4074.846556,4147.551096,4221.552849,4296.874963,4373.540994,4451.574922,4531.001153,4611.844528,4694.130334,4777.884305,4863.132638,4949.901996,5038.219516,5128.112822,5219.610029,5312.739755,5407.531127,5504.013792,5602.217929,5702.17425,5803.91402
Ethiopia,ETH,L,0.055948,1110,2025,projected - cut from 7.7% to the L p90 cap of 5.59%,290,280,260,260,250,230,220,170,150,150,150,130,130,120,120,120,110,130,160,180,210,270,330,370,380,400,450,530,570,620,670,730,790,820,880,960,1030,1100,1110,1172.10228,1237.679058,1306.924726,1380.044551,1457.255283,1538.785802,1624.87779,1715.786453,1811.781273,1913.146812,2020.18355,2133.208779,2252.557544,2378.583633,2511.66063,2652.183019,2800.567355,2957.253497,3122.705916,3297.415066,3481.898844,3676.704121,3882.408363,4099.621346,4328.986961
Faeroe Islands,FRO,H,0.01244,73120,2024,projected - raised from 0.9% to the 1.244% floor,,,,,,,,,,,,,,,,,,,,,,,,49050,53420,56500,59530,60440,57670,57410,57920,62900,66020,64210,70050,72970,73420,73120,,74029.6128,74950.541183,75882.925916,76826.909514,77782.636268,78750.252263,79729.905402,80721.745425,81725.923938,82742.594432,83771.912306,84814.034896,85869.12149,86937.333361,88018.833788,89113.78808,90222.363604,91344.729807,92481.058246,93631.522611,94796.298752,95975.564708,97169.500733,98378.289322,99602.115242
Fiji,FJI,UM,0.032937,6230,2025,projected,1700,1710,1690,1690,1690,1890,2000,2150,2390,2600,2520,2230,2280,2150,2050,2050,2270,2820,3320,3350,3510,3730,3620,3450,3570,3910,4460,4740,4820,5010,5120,5690,5570,4560,4380,5250,5670,5820,6230,6435.197864,6647.154341,6866.092041,7092.240905,7325.838446,7567.130003,7816.368994,8073.817184,8339.744959,8614.431612,8898.165635,9191.245022,9493.977582,9806.681261,10129.684478,10463.326471,10807.957649,11163.939964,11531.647289,11911.465811,12303.794437,12709.045213,13127.643757,13560.029705,14006.657173
Finland,FIN,H,0.012806,55250,2025,projected,16460,21520,24090,25980,25070,24150,20660,20150,22010,24940,26670,25810,26040,26470,25840,25610,28790,35370,40230,42830,46190,50160,48950,49750,50200,48820,49390,49210,46860,45160,44520,47900,49590,49630,52810,54120,52870,51710,55250,55957.545926,56674.15287,57399.936869,58135.015448,58879.507635,59633.533984,60397.216591,61170.679116,61954.046805,62747.446505,63551.006688,64364.857474,65189.130644,66023.959673,66869.479739,67725.827757,68593.14239,69471.564082,70361.235071,71262.299419,72174.903032,73099.193685,74035.321046,74983.436699,75943.694167
France,FRA,H,0.016692,48630,2025,projected,14350,18400,19360,20470,21270,23660,23460,24260,25660,27020,26890,25740,25340,24950,23800,23040,25900,31340,35870,37920,40200,43580,44090,44040,44610,43500,43950,43470,41130,39020,38120,40960,42720,39690,44300,46010,45770,45160,48630,49441.73668,50267.022948,51106.084974,51959.152705,52826.459926,53708.244323,54604.74755,55516.215296,56442.897351,57385.047672,58342.924458,59316.790216,60306.911836,61313.560662,62337.012568,63377.548033,64435.452216,65511.015039,66604.531261,67716.300562,68846.627624,69995.822215,71164.199274,72352.078995,73559.786921
French Polynesia,PYF,H,0.01244,24100,2024,projected - raised from 0.9% to the 1.244% floor,12330,14340,14790,15190,16110,21490,21190,21230,22180,22970,21960,20520,19810,19380,,,,,24320,25170,25940,27720,27530,26220,25270,24050,24290,23990,23060,22170,22220,23700,24530,22170,23460,24150,24370,24100,,24399.804,24703.337562,25010.647081,25321.779531,25636.782468,25955.704042,26278.593,26605.498697,26936.471101,27271.560801,27610.819018,27954.297606,28302.049069,28654.126559,29010.583893,29371.475557,29736.856713,30106.783211,30481.311594,30860.49911,31244.403719,31633.084101,32026.599667,32425.010567,32828.377699
Gabon,GAB,UM,0.026904,8090,2025,projected,3310,4010,4420,4650,4990,4940,4280,3990,3770,3960,4130,3810,3160,2980,3290,3460,3700,4110,5240,5450,6240,6920,7170,7420,7680,8610,8870,8880,7610,7180,6240,6690,7040,6820,7000,7150,7660,7870,8090,8307.653787,8531.163342,8760.686211,8996.384175,9238.423369,9486.974398,9742.212458,10004.317456,10273.47414,10549.87223,10833.706549,11125.177162,11424.489515,11731.854583,12047.489018,12371.615298,12704.461888,13046.263401,13397.260759,13757.701369,14127.839292,14507.935426,14898.257686,15299.081196,15710.688484
"Gambia, The",GMB,L,0.053202,930,2025,projected,290,270,270,280,360,470,630,620,620,630,620,600,580,560,510,410,360,430,480,600,650,750,820,830,710,710,680,600,590,590,620,680,720,720,760,830,870,880,930,979.477401,1031.587075,1086.469061,1144.270852,1205.147785,1269.263463,1336.790192,1407.909444,1482.812347,1561.700198,1644.785002,1732.290042,1824.450482,1921.513996,2023.741436,2131.407529,2244.801621,2364.228449,2490.008964,2622.481193,2762.001143,2908.943765,3063.703956,3226.697622,3398.362797
Georgia,GEO,UM,0.090712,8990,2025,projected - cut from 10.4% to the UM p90 cap of 9.07%,,,,1640,1330,750,540,510,550,670,820,870,840,790,780,840,990,1210,1520,1910,2380,2820,2950,3220,3580,4250,4680,4850,4500,4180,4130,4580,4780,4330,4760,5690,6710,7870,8990,9805.50088,10694.977476,11665.140273,12723.308477,13877.465236,15136.317862,16509.363528,18006.960912,19640.408351,21422.029073,23365.264174,25484.774018,27796.548839,30318.029377,33068.238458,36067.924505,39339.718072,42908.302578,46800.600522,51045.976596,55676.459225,60726.982194,66235.648203,72244.016323,78797.415532
Germany,DEU,H,0.018191,60200,2025,projected,14280,18670,19810,21360,22950,25890,26080,27630,29650,31020,30270,28070,27020,26380,24990,23920,26470,32080,36310,38890,41130,44360,44470,45530,48200,47480,48160,48610,46590,45340,44730,48770,50350,48540,52850,55200,55420,55090,60200,61295.112425,62410.146299,63545.464018,64701.434569,65878.433654,67076.843808,68297.054523,69539.462381,70804.471173,72092.492039,73403.943597,74739.25208,76098.851475,77483.183664,78892.698567,80327.854289,81789.117268,83276.962426,84791.873328,86334.342332,87904.870754,89503.969029,91132.156879,92789.963479,94477.927631
Ghana,GHA,LM,0.028697,2630,2025,projected,400,420,380,380,400,420,400,370,360,370,380,380,390,330,290,270,310,370,450,570,770,1120,1160,1200,1350,1490,1790,1830,1880,1760,1830,2060,2170,2120,2250,2270,2310,2260,2630,2705.472943,2783.111727,2862.978507,2945.137219,3029.653634,3116.595412,3206.032152,3298.035453,3392.678966,3490.038458,3590.19187,3693.219377,3799.203458,3908.228958,4020.383156,4135.755835,4254.439357,4376.528732,4502.121698,4631.318798,4764.223459,4900.942076,5041.584099,5186.262117,5335.09195
Gibraltar,GIB,H,,,,frozen - only 0 of 10 annual rates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,GRC,H,0.028267,25360,2025,projected,6020,7450,8150,8810,9670,11000,10940,11390,12180,13130,13810,13540,13140,13100,12840,12980,15460,19280,22430,24160,25960,28330,29030,27320,24470,22750,22030,21670,19920,18500,17890,19060,19770,18030,20350,21980,22300,22730,25360,26076.842221,26813.94717,27571.887605,28351.252477,29152.647383,29976.695037,30824.035756,31695.327959,32591.248672,33512.494062,34459.779973,35433.842481,36435.438473,37465.346227,38524.366022,39613.320758,40733.056596,41884.443613,43068.376484,44285.775169,45537.585636,46824.78059,48148.360232,49509.353035,50908.816545
Greenland,GRL,H,,,,frozen - only 0 of 10 annual rates,11470,15170,16970,15690,16510,17440,16600,17830,19470,20780,20540,20440,19740,20290,19380,18760,20440,25740,30920,30240,34800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,GRD,UM,0.063956,11660,2025,projected,2240,2490,2620,2730,2910,3010,2990,3100,3200,3380,3530,3840,4140,4410,4310,4450,5050,5110,6340,6120,6500,6910,6390,6610,6730,6700,7040,7170,7410,8000,8400,9220,9400,8390,8890,9980,10100,10790,11660,12405.724554,13199.142514,14043.304149,14941.454812,15897.047413,16913.755698,17995.488367,19146.404108,20370.927579,21673.76642,23059.929353,24534.745437,26103.884554,27773.379209,29549.647719,31439.518892,33450.258275,35589.596092,37865.756956,40287.491495,42864.109989,45605.518163,48522.255273,51625.53462,54927.28666
Guam,GUM,H,,,,frozen - only 0 of 10 annual rates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,UM,0.057592,6360,2025,projected,1020,990,980,930,970,1030,1140,1230,1350,1430,1520,1600,1640,1660,1590,1590,1660,1830,1980,2130,2340,2570,2610,2690,2850,3090,3300,3460,3610,3760,3980,4270,4490,4360,4800,5220,5470,5780,6360,6726.283208,7113.661289,7523.349131,7956.631593,8414.867528,8899.494049,9412.031036,9954.085898,10527.358621,11133.647094,11774.85275,12452.986531,13170.175188,13928.667958,14730.843616,15579.217934,16476.45157,17425.358416,18428.91442,19490.26692,20612.744513,21799.867499,23055.358915,24383.156216,25787.423619
Guinea,GIN,LM,0.074681,1730,2025,projected - cut from 7.5% to the LM p90 cap of 7.47%,730,590,580,600,610,660,700,700,710,730,720,670,640,580,530,500,500,550,530,500,530,610,660,680,670,680,680,730,740,760,800,860,970,1030,1120,1280,1340,1440,1730,1859.19813,1998.044906,2147.260897,2307.620488,2479.955894,2665.16148,2864.198404,3078.099606,3307.975162,3555.018055,3820.510359,4105.829893,4412.457375,4741.984104,5096.120219,5476.703573,5885.709273,6325.259927,6797.636663,7305.290967,7850.857402,8437.167283,9067.263373,9744.415669,10472.138376
Guinea-Bissau,GNB,L,0.055642,1090,2025,projected,450,480,540,590,650,630,590,570,590,630,630,460,500,410,350,330,360,410,470,470,480,540,590,620,660,630,660,660,670,670,710,750,850,860,910,960,970,980,1090,1150.64928,1214.67318,1282.259468,1353.606362,1428.923106,1508.430591,1592.361994,1680.96347,1774.494869,1873.230499,1977.459932,2087.488851,2203.639948,2326.253872,2455.690224,2592.328613,2736.569773,2888.836734,3049.576063,3219.259177,3398.38372,3587.475029,3787.08767,3997.807066,4220.251214
Guyana,GUY,H,0.062377,28470,2025,projected,450,460,350,390,330,390,470,570,670,830,880,860,850,870,860,870,910,1010,1070,1450,2250,3820,4160,4520,4860,5350,5610,5640,5530,5610,5870,6100,6380,8090,7810,14680,17770,26400,28470,30245.886029,32132.547303,34136.893697,36266.26611,38528.463347,40931.77068,43484.990199,46197.473044,49079.153654,52140.586155,55392.983012,58848.256095,62519.060305,66418.839924,70561.877856,74963.347933,79639.370494,84607.071423,89884.644873,95491.419903,101447.931267,107775.994626,114498.786448,121640.928887,129228.579966
Haiti,HTI,LM,0.019024,2010,2025,projected,350,390,380,430,460,400,320,260,310,370,400,410,460,560,650,740,690,680,710,800,900,1010,1160,1140,1260,1320,1410,1460,1430,1380,1370,1430,1410,1340,1450,1610,1740,1730,2010,2048.238736,2087.204936,2126.912438,2167.375346,2208.60803,2250.625135,2293.441583,2337.072582,2381.533628,2426.840512,2473.009326,2520.056466,2567.998642,2616.852883,2666.636539,2717.367291,2769.063157,2821.742499,2875.424025,2930.126802,2985.870258,3042.674191,3100.558777,3159.544573,3219.652529
Honduras,HND,LM,0.054841,3270,2025,projected,1100,1160,1060,950,880,800,810,880,920,910,970,960,1010,1060,1050,1070,1130,1210,1290,1360,1490,1620,1670,1730,1860,1950,1990,1980,2030,2090,2210,2280,2330,2120,2440,2700,2870,3020,3270,3449.32856,3638.491594,3838.028431,4048.507976,4270.530332,4504.728514,4751.77025,5012.359887,5287.240401,5577.19551,5883.051913,6205.681646,6546.004567,6904.99098,7283.664401,7683.104477,8104.450061,8548.902464,9017.728876,9512.26598,10033.923765,10584.189545,11164.632195,11776.906633,12422.75853
"Hong Kong SAR, China",HKG,H,0.044879,62500,2025,projected,9080,10770,11550,12660,14320,16560,19560,21820,23570,24140,26080,25110,25800,26930,26350,25270,26340,28120,28890,30290,32070,33950,32350,33620,35690,36340,38570,40240,41180,42970,46380,50050,50480,48550,54380,54000,54870,57410,62500,65304.966769,68235.818954,71298.206228,74498.031814,77841.463871,81334.947381,84985.216573,88799.307906,92784.57363,96948.695961,101299.701887,105845.978647,110596.28989,115559.792576,120746.054623,126165.073353,131827.294763,137743.633659,143925.494699,150384.794375,157133.983987,164186.07364,171554.657326,179253.939131,187298.760609
Hungary,HUN,H,0.05599,23850,2025,projected,2520,2840,2910,3020,2910,3320,3670,4040,4260,4380,4410,4420,4500,4630,4790,5300,6630,8650,10380,11230,11770,13250,13400,13250,13260,13080,13560,13630,13310,13230,13310,15180,16840,16330,18070,19200,19820,20800,23850,25185.356644,26595.479634,28084.555123,29657.003646,31317.493241,33070.953311,34922.589253,36877.897914,38942.68391,41123.076852,43425.549552,45856.937229,48424.457807,51135.733339,53998.812637,57022.195161,60214.856257,63586.273798,67146.45632,70905.972737,74875.983713,79068.274795,83495.291401,88170.175765,93106.805953
Iceland,ISL,H,0.071689,89220,2025,projected - cut from 7.2% to the H p90 cap of 7.17%,19480,23940,24680,25300,25760,27030,26610,26170,25990,27750,28690,29550,30720,32170,31120,31080,33810,42100,51760,55160,63250,52520,43740,38480,39690,43190,49540,50800,53170,59210,62770,72840,75560,66730,68000,74620,80870,80910,89220,95616.09258,102470.714641,109816.737703,117689.389812,126126.424478,135168.301723,144858.382105,155243.13466,166372.35974,178299.427838,191081.53552,204779.97972,219460.451686,235193.352007,252054.128219,270123.636617,289488.530002,310241.673229,332482.588542,356317.932832,381862.009118,409237.31469,438575.128543,470016.140933,503711.12806
India,IND,LM,0.064409,2760,2025,projected,360,400,390,390,350,350,330,340,370,400,410,410,440,440,450,460,510,610,700,780,910,990,1110,1210,1350,1460,1500,1540,1580,1670,1790,1970,2070,1900,2170,2360,2490,2550,2760,2937.769272,3126.988512,3328.395204,3542.774331,3770.961437,4013.845882,4272.374309,4547.554334,4840.458472,5152.228319,5484.078998,5837.3039,6213.27972,6613.471825,7039.439966,7492.844355,7975.452139,8489.144283,9035.922904,9617.919076,10237.401129,10896.783499,11598.636132,12345.6945,13140.870268
Indonesia,IDN,UM,0.047884,5120,2025,projected,500,510,520,560,600,650,730,840,970,1070,1080,640,560,570,700,780,880,1060,1200,1350,1570,1900,2110,2490,2960,3520,3670,3570,3390,3370,3490,3810,4020,3850,4130,4520,4810,4920,5120,5365.167403,5622.074465,5891.283331,6173.383064,6468.990934,6778.753767,7103.349364,7443.48798,7799.913882,8173.406974,8564.784505,8974.902859,9404.659426,9854.994568,10326.893674,10821.389319,11339.563521,11882.550111,12451.53721,13047.769835,13672.552617,14327.252659,15013.302527,15732.203385,16485.528276
"Iran, Islamic Rep.",IRN,UM,0.01244,4650,2025,projected - raised from 1.2% to the 1.244% floor,3320,2850,2440,2450,2460,2270,1590,1300,1270,1600,1790,1770,1730,1750,1780,1880,2180,2450,2850,3330,4070,4720,5260,5910,6680,7310,7220,6660,5460,5530,5640,5390,4710,3980,4110,4390,5070,5130,4650,4707.846,4766.411604,4825.705765,4885.737544,4946.516119,5008.05078,5070.350932,5133.426097,5197.285918,5261.940155,5327.39869,5393.67153,5460.768804,5528.700768,5597.477805,5667.110429,5737.609283,5808.985142,5881.248917,5954.411654,6028.484535,6103.478883,6179.40616,6256.277973,6334.10607
Iraq,IRQ,UM,0.01244,5690,2025,projected - raised from 1.1% to the 1.244% floor,3480,3660,3650,7000,70,50,40,60,120,380,730,890,1240,1530,1660,1330,790,1310,1510,1880,2480,3470,4010,4390,4740,5980,6620,6440,5460,5060,4430,4820,5520,4720,4740,5510,5920,6030,5690,5760.7836,5832.447748,5905.003398,5978.46164,6052.833703,6128.130954,6204.364903,6281.547203,6359.68965,6438.804189,6518.902913,6599.998066,6682.102042,6765.227391,6849.38682,6934.593192,7020.859531,7108.199024,7196.625019,7286.151035,7376.790754,7468.558031,7561.466892,7655.531541,7750.766353
Ireland,IRL,H,0.037475,87360,2025,projected,8220,10420,11100,12560,13130,14440,14600,15480,16920,18880,20650,21430,22690,24130,24080,24920,29980,37840,44640,47950,50540,50940,46810,44970,42670,41070,44170,47580,52340,52880,54410,59110,62460,64420,74070,75970,79280,80650,87360,90633.812219,94030.31041,97554.092224,101209.927608,105002.765265,108937.73935,113020.176417,117255.602638,121649.751272,126208.570437,130938.231152,135845.135698,140935.92628,146217.494018,151696.988279,157381.82635,163279.703481,169398.603303,175746.808631,182332.912679,189165.830691,196254.81201,203609.452598,211239.708022,219155.906939
Isle of Man,IMN,H,0.01244,87030,2023,projected - raised from 0.1% to the 1.244% floor,7930,10360,11430,12410,13120,14420,13920,13740,14170,15490,17210,18970,21680,22470,23100,24130,27590,33670,39430,44860,47950,43640,46790,72410,74840,82400,87680,88570,83630,78690,77890,83430,84470,79280,76440,78440,87030,,,88112.6532,89208.774606,90318.531762,91442.094297,92579.63395,93731.324596,94897.342274,96077.865212,97273.073856,98483.150894,99708.281291,100948.652311,102204.453545,103475.876948,104763.116857,106066.37003,107385.835674,108721.715469,110074.21361,111443.536827,112829.894425,114233.498312,115654.563031,117093.305795,118549.946519
